10.1001/hyp.14465
10.1002/esp.4833
10.1002/esp.4919
10.1002/esp.5140
10.1002/etc.4852
10.1002/etc.5200
10.1002/hyp.10905
10.1002/hyp.10906
10.1002/hyp.10910
10.1002/hyp.11628
10.1002/hyp.13622
10.1002/hyp.13915
10.1002/hyp.13960
10.1002/hyp.14038
10.1002/hyp.14112
10.1002/hyp.14127
10.1002/hyp.14410
10.1002/hyp.14501
10.1002/jeq2.20155
10.1002/joc.6571
10.1002/ppp.2051
10.1002/rcm.8995
10.1002/smll.202101171
10.1002/vzj2.20043
10.1002/vzj2.20101
10.1002/wcc.688
10.1007/s10460-020-10059-z
10.1007/s00382-020-05388-y
10.1007/s00484-020-01867-3
10.1007/s00704-021-03791-x
10.1007/s10584-021-02956-x
10.1007/s10661-020-08570-1
10.1007/s10664-020-09863-2
10.1007/s10933-020-00162-w
10.1007/s11027-015-9662-z
10.1007/s11069-020-04425-7
10.1007/s11273-022-09857-5
10.1007/s11625-020-00901-y
10.1007/s12665-016-6027-1
10.1007/s13679-020-00399-6
10.1016/b978-0-12-409548-9.12441-8
10.1016/j.aca.2020.12.056
10.1016/j.agrformet.2019.107774
10.1016/j.agrformet.2020.107910
10.1016/j.agrformet.2021.108407
10.1016/j.apgeochem.2021.105053
10.1016/j.aquatox.2020.105616
10.1016/j.aquatox.2020.105658
10.1016/j.atmosres.2020.104973
10.1016/j.chemosphere.2020.129195
10.1016/j.coldregions.2019.102918
10.1016/j.coldregions.2020.103218
10.1016/j.dib.2021.106723
10.1016/j.ecolind.2020.106684
10.1016/j.eehl.2022.06.002
10.1016/j.ejrh.2020.100754
10.1016/j.ejrh.2021.100978
10.1016/j.envres.2020.109112
10.1016/j.envsoft.2020.104829
10.1016/j.envsoft.2020.104885
10.1016/j.envsoft.2020.104888
10.1016/j.envsoft.2021.104997
10.1016/j.envsoft.2021.105025
10.1016/j.envsoft.2021.105282
10.1016/j.geoderma.2020.114630
10.1016/j.geoderma.2022.115827
10.1016/j.hydrol.2021.126793
10.1016/j.ijdrr.2020.102001
10.1016/j.jece.2021.105305
10.1016/j.jenvman.2021.112262
10.1016/j.jenvman.2021.112336
10.1016/j.jhydrol.2020.125735
10.1016/j.jhydrol.2020.125744
10.1016/j.jhydrol.2020.125752
10.1016/j.jhydrol.2020.125846
10.1016/j.jhydrol.2021.126268
10.1016/j.jss.2020.110686
10.1016/j.marpol.2020.104150
10.1016/j.mex.2022.101627
10.1016/j.mtcomm.2022.103132
10.1016/j.rse.2020.111915
10.1016/j.rse.2020.112206
10.1016/j.rse.2021.112732
10.1016/j.scitotenv.2018.12.077
10.1016/j.scitotenv.2020.143648
10.1016/j.scitotenv.2020.144612
10.1016/j.scitotenv.2021.146698
10.1016/j.scitotenv.2021.149628
10.1016/j.scitotenv.2021.151060
10.1016/j.snb.2020.129023
10.1016/j.wace.2020.100290
10.1016/j.wace.2022.100441
10.1016/j.watres.2020.116560
10.1017/jog.2021.101
10.1021/acs.est.0c02522
10.1021/acs.est.0c02838
10.1021/acs.est.0c03931
10.1021/acs.est.0c06450
10.1021/acs.est.9b07178
10.1021/acs.iecr.1c02914
10.1029/2018wr023403
10.1029/2019jg005389
10.1029/2019wr025975
10.1029/2020ef001667
10.1029/2020ef001824
10.1029/2020gb006626
10.1029/2020gl088000
10.1029/2020gl088288
10.1029/2020gl089829
10.1029/2020jd032696
10.1029/2020jd033577
10.1029/2020jd034118
10.1029/2020jg005713
10.1029/2020jg005774
10.1029/2020jg005833
10.1029/2020wr027343
10.1029/2020wr027447
10.1029/2020wr027466
10.1029/2020wr028096
10.1029/2021gl092658
10.1029/tr002i001p00002
10.1038/521032c
10.1038/s41558-020-00920-8
10.1038/s41586-020-03042-5
10.1038/s41597-020-0534-3
10.1038/s41598-021-02606-3
10.1038/s43247-021-00184-w
10.1061/(asce)he.1943-5584.0002003
10.1080/01490451.2021.1998256
10.1080/02626667.2018.1518626
10.1080/02626667.2020.1751847
10.1080/07011784.2020.1758215
10.1080/07038992.2021.1900717
10.1080/13658816.2021.1931236
10.1088/1748-9326/aa70cb
10.1088/1748-9326/ab9967
10.1088/1748-9326/abab34
10.1088/1748-9326/abb55f
10.1088/2515-7620/ac53c2
10.1093/obo/9780199363445-0115
10.1101/2021.02.22.21252041
10.1109/jiot.2020.3044526
10.1109/jsen.2020.2978758
10.1109/jstars.2019.2920676
10.1109/saner53432.2022.00152
10.1111/2041-210x.13756
10.1111/cag.12598
10.1111/caje.12560
10.1111/gcb.14905
10.1111/gcb.15353
10.1111/gean.12228
10.1111/jfr3.12697
10.1111/nph.16479
10.1111/wej.12634
10.1117/12.2601682
10.1126/sciadv.aay8558
10.1126/science.abd5942
10.1139/as-2020-0006
10.1139/cjfas-2020-0141
10.1139/er-2019-0063
10.1139/facets-2020-0022
10.1139/facets-2020-0031
10.1142/s2345737621310023
10.1146/annurev-environ-012220-125703
10.1175/bams-d-18-0268.1
10.1175/bams-d-19-0001.1
