10.1029/2018GL078409
10.1029/2019JG005254
10.1029/2019WR025019
10.1002/fee.2188
10.1002/hyp.13546
10.1016/j.eehl.2022.06.002
10.1016/j.envsoft.2018.10.005
10.1016/j.geoderma.2022.115827
10.1016/j.jglr.2018.07.005
10.1016/j.mtcomm.2022.103132
10.1016/j.rse.2021.112732
10.1016/j.scitotenv.2021.149628
10.1021/acs.iecr.1c02914
10.1029/2019WR026010
10.1061/(ASCE)WR.1943-5452.0001021
10.1093/OBO/9780199363445-0115
10.1093/treephys/tpy043
10.1111/2041-210X.13756
10.1111/caje.12560
10.1111/gcb.14287
10.1117/1.JRS.12.026014
10.1137/18M1201421
10.1145/3301320
10.1146/annurev-earth-071719-055251
10.1175/JHM-D-15-0176.1
10.2134/jeq2018.11.0418
10.2166/nh.2017.183
10.5194/hess-23-4097-2019
10.5194/tc-2022-38
