10.1029/2023GL105605
10.1002/hyp.1050
10.1002/hyp.14385
10.1007/s13157-022-01586-y
10.1007/s40641-022-00183-9
10.1016/j.geoderma.2022.115827
10.1016/j.jhydrol.2021.126793
10.1080/07055900.2024.2308878
10.1139/cjfr-2021-0183
10.1002/hyp.14086
10.1071/WF21001
10.1002/EXP.20230018
10.1007/s10021-023-00899-1
10.1007/s10586-024-04318-5
10.1007/s11075-023-01730-7
10.1007/s42967-023-00314-5
10.1016/j.gca.2022.02.016
10.1016/j.crm.2022.100433
10.1016/j.envsci.2023.103595
10.1016/j.geoderma.2023.116763
10.1016/j.jag.2023.103589
10.1016/j.jenvman.2024.120411
10.1016/j.scitotenv.2023.169538
10.1016/j.scitotenv.2024.171222
10.1016/j.scitotenv.2023.167999
10.1016/j.scitotenv.2024.170825
10.1021/acsearthspacechem.1c00307
10.1029/2023GL107477
10.1029/2023JG007848
10.1029/2023JG007558
10.1039/D3VA00176H
10.1039/D3VA00267E
10.1080/07055900.2023.2270560
10.1093/aob/mcae055
10.1139/er-2024-0011
10.1175/BAMS-D-21-0146.1
10.20383/103.0643
10.3390/rs16091595
10.3390/rs16122244
10.3390/su151411024
10.5194/bg-20-2785-2023
10.5194/egusphere-egu22-1376
10.1021/acsearthspacechem.3c00355
10.1021/acs.est.4c01705
10.1002/hyp.15028
10.1109/ICSME58846.2023.00013
10.1175/JCLI-D-22-0713.1
10.1029/2022JG007322
10.1088/1748-9326/ace376
10.3389/fcosc.2023.1220521
10.1002/ecs2.4672
10.1002/essoar.10512704.1
10.1029/2022JG006923
10.1038/s41558-023-01657-w
10.1088/1748-9326/acddfc
10.1111/jvs.13206
10.14430/arctic78205
10.5334/cstp.448
10.1002/hyp.14900
10.1071/WF22112
10.1111/gcb.16487
10.1111/cag.12872
10.1139/AS-2023-0009
10.1002/lno.12449
10.1029/2023EA003166
10.1002/fes3.503
10.1002/hyp.14815
10.1002/hyp.14898
10.1002/hyp.15005
10.1002/hyp.15005
10.1002/hyp.15036
10.1002/qj.4549
10.1007/s10021-023-00854-0
10.1007/s10040-023-02720-8
10.1016/j.ancene.2023.100408
10.1016/j.ancene.2023.100408
10.1016/j.atmosres.2023.106979
10.1016/j.envres.2022.114835
10.1016/j.ejrh.2023.101571
10.1016/j.envsoft.2023.105769
10.1016/j.jhydrol.2023.129820
10.1016/j.rse.2024.114052
10.1016/j.scitotenv.2023.165624
10.1016/j.scitotenv.2023.169205
10.1016/j.sna.2023.114652
10.1029/2022WR032146
10.1029/2023AV000956
10.1029/2023WR034848
10.1029/2022JD037981
10.1029/2022MS003013
10.1029/2022WR032683
10.1029/2022WR033250
10.1029/2023EA002823
10.1038/s41558-023-01785-3
10.1080/22423982.2023.2208810
10.1088/1748-9326/acff0f
10.1088/2515-7620/acc56d
10.1111/cjag.12342
10.1111/gcb.16553
10.1175/JCLI-D-22-0467.1
10.22541/essoar.169143854.47061989/v1
10.3389/fsufs.2022.984290
10.3390/conservation3040032
10.3390/rs15102677
10.5194/bg-20-5087-2023
10.5194/essd-15-1059-2023
10.5194/essd-15-5785-2023
10.5194/gmd-16-3809-2023
10.5194/hess-27-1583-2023
10.5194/tc-2023-20
10.1016/j.jhydrol.2023.129566
10.1029/2022WR033363
10.1109/JSTARS.2023.3330745
